ID,Title,Content,Post Type,Permalink,Image Featured,Tour Categories,tour_url,cancellation_policy,highlights,what_included,what_expect,additional_info,tour_adult_price,tour_rating,tour_location,tour_cancellation_policy,tour_address,_featured_image_url,Author Email
1001885,From Ljubljana: Triglav National Park Tour,"Start from Ljubljana, passing and visit Lake Bohinj, Savica Waterfall, Pokljuka plateau, Vintgar Gorge, Zelenci, Jasna Lake and Pericnik Waterfall.

This tour covers about one half of the Triglav National Park.
Operates in all weather conditions, please dress appropriately (no refund due to weather or personal reasons).",tours,https://visitslovenia.com/tours/from-ljubljana-triglav-national-park-tour/,https://visitslovenia.com/wp-content/uploads/2024/01/97-46.jpg,Adventure Tours|Bus Tours|Day Trips|Full-day Tours|Likely To Sell Out|Nature and Wildlife Tours,https://www.viator.com/tours/Ljubljana/Ljubljana-Triglav-National-Park-Tour/d5257-15264P17,"For a full refund, cancel at least 24 hours before the scheduled departure time.","<div class=""d-flex d-md-inline-flex align-items-center mr-md-4 pb-2 pt-2""><span></span></div>",<ul><li>Local guide</li><li>Bottled water</li><li>Driver/guide</li><li>All Fees and Taxes</li><li>Transport by air-conditioned minivan</li><li>Pickup and drop-off (Ljubljana main train station)</li></ul>,,"<ul><li>Not recommended for travelers with spinal injuries</li><li>Not recommended for pregnant travelers</li><li>Not recommended for travelers with poor cardiovascular health</li><li>Suitable for all physical fitness levels</li><li>Minimum numbers apply (6). There is a possibility of cancellation after confirmation if there are not enough passengers to meet requirements. In the event of this occurring, you will be offered an alternative or full refund</li><li>Operates in all weather conditions, please dress appropriately (no refund due to weather or personal reasons).</li><li>Adult price applies for all guests</li><li>No parking available at our office.</li><li>The briefing will instruct guests about how to come prepared for the tour, what to bring along and with exact time & place of departure</li><li>We will send guests a short briefing about the tour, to the email provided by guests, one day before the tour happens, at around 7 pm central European time</li><li>Please take appropriate precautions if you have car sickness.</li><li>Operates in all weather conditions, make sure to dress appropriately, no refund due to weather or personal reasons</li><li> If you are late 10 min or more, tour will go ahead without you, no refunds in this case</li><li>This tour includes pickup from both Ljubljana and Bled. Pick up only from Ljubljana, the pick-up point: Ljubljana main train station (Trg Osvobodilne fronte 7, 1000 Ljubljana</li><li>No pets</li><li>Not recommended for people who over 65 years old</li></ul>",157.48,4.9444447,SILJU,"For a full refund, cancel at least 24 hours before the scheduled departure time.",Ljubljana,https://visitslovenia.b-cdn.net/wp-content/uploads/tours/from-ljubljana-triglav-national-park-tour-0.jpg,marcus@visit.network
1002065,Skocjan Cave Day Tour From Ljubljana,"Our aim is to show everyone the best of Slovenia. We speak good english and make sure that our guests enjoy when doing a tour with us. Its always our pleasure to make sure our guests gets what they wish for during the tour with us. 

During this tour guests will be seeing the Skocjan caves and if they have extra time they may add visiting Postojna cave or Predjama castle at extra costs. 

We pick up the guests from their respective hotels in Ljubljana. We also offer pick up from the airport and going straight to Skocjan cave at a small extra charge as well. 

You will have great time traveling with us.",tours,https://visitslovenia.com/tours/skocjan-cave-day-tour-from-ljubljana/,https://visitslovenia.com/wp-content/uploads/2024/01/97-130.jpg,Bus Tours|Car Tours|Classic Car Tours|Day Trips|Half-day Tours|Luxury Car Tours|Private Sightseeing Tours,https://www.viator.com/tours/Ljubljana/Skocjan-Cave-Day-Tour-From-Ljubljana/d5257-49724P13,"For a full refund, cancel at least 24 hours before the scheduled departure time.","<div class=""d-flex d-md-inline-flex align-items-center mr-md-4 pb-2 pt-2""><span>Pickup included</span></div>",<ul><li>Air-conditioned vehicle</li><li>All Fees and Taxes</li></ul>,,<ul><li>Public transportation options are available nearby</li><li>Travelers should have at least a moderate level of physical fitness</li></ul>,120,4.857143,SILJU,"For a full refund, cancel at least 24 hours before the scheduled departure time.",Ljubljana,https://visitslovenia.b-cdn.net/wp-content/uploads/tours/skocjan-cave-day-tour-from-ljubljana-0.jpg,marcus@visit.network
1002320,Postojna Cave And Predjama Castle - Entrance Tickets Included,"On this day we take you to the biggest and worldwide known Slovenian cave system - the Postojna caves. Amazing two million years old and 21 km long system of underground caves is one of the most easily accessible networks of underground caves in the world. First, you will experience the ride by electric train, after that, a guided walk will follow through a series of cave halls with drop stones, pillars, and translucent curtains that create unforgettable impressions. The underworld system is home to the mysterious, unique, and rare amphibian Proteus Anguinus, or ""baby dragon"" as it is popularly called here.
Back in the daylight, the trip will continue towards the astonishing castle of the robber knight Erasmus. For centuries dramatically hanging in over a 100-meter-high vertical cliff, it's waiting for you to enter and discover its secrets, legends, and myths. 
Driving through the green scenery, we return to Ljubljana.",tours,https://visitslovenia.com/tours/postojna-cave-and-predjama-castle-entrance-tickets-included/,,Bus Tours|Car Tours|City Tours|Day Trips|Half-day Tours,https://www.viator.com/tours/Ljubljana/Postojna-Caves-and-Predjama-Castle-Tour-from-Ljubljana/d5257-3312LJ_POS,"For a full refund, cancel at least 24 hours before the scheduled departure time.","<div class=""d-flex d-md-inline-flex align-items-center mr-md-4 pb-2 pt-2""><span>Book your Shared Group Tour to Postojna Caves and Predjama Castle from Ljubljana<br/>Pickup included</span></div>",<ul><li>Entrance to Postojna cave</li><li>Pick up and drop of service in central Ljubljana</li><li>Entrance to Predjama Castle</li><li>Tax</li><li>Organization</li><li>Audio guide in Predjama Castle</li><li>Skip the line service</li><li>Air-conditioned vehicle</li><li>English Speaking Driver/Guide</li></ul>,,"<ul><li>Public transportation options are available nearby</li><li>Specialized infant seats are available</li><li>Suitable for all physical fitness levels</li><li>There is a constant temperature of 10°C (50°F) in the caves, dress properly, and wear comfortable shoes (flipflops are not recommended).</li><li>The minimum number of participants must apply. There is a possibility of cancellation after confirmation if there are not enough passengers to meet requirements. In the event of this occurring, you will be offered an alternative date/tour or full refund.</li><li>In case you fail to provide us with a desired meeting point up until 24h before departure, your meeting point will be the City hotel (Dalmatinova 15, 1000 Ljubljana) </li><li>Child rate applies only when sharing with 2 paying adults.</li></ul>",123.49,4.826021,SILJU,"For a full refund, cancel at least 24 hours before the scheduled departure time.",Ljubljana,https://visitslovenia.b-cdn.net/wp-content/uploads/tours/postojna-cave-and-predjama-castle-entrance-tickets-included-0.jpg,marcus@visit.network
1002321,"Slovenia In One Day: Lake Bled, Postojna Cave And Predjama Castle","The Original & top-rated small group day tour to the 3 main tourist attractions of Slovenia!

Explore the magnificent Postojna Cave, one of the largest karst monuments in the world, and experience its breathtaking stalactites, stalagmites, and the famous cave-dwelling human fish.

Drive along a scenic road to the charming village of Predjama and visit one of Slovenia's most fascinating castles, perched high up on a vertical cliff. Immerse yourself in the legends of Erazem and marvel at the splendor of the castle.

Experience the magic of Lake Bled on a traditional Pletna boat trip to the island of Bled, the only Slovenian island. Explore the Church of the Assumption of the Virgin Mary and ring the wishing bell that has been ringing over Lake Bled since 1534.

Finally, visit the thousand-year-old Bled Castle, one of the most spectacular castles in Slovenia, and enjoy the breathtaking views from several vantage points. Join us on this journey and create unforgettable memories.",tours,https://visitslovenia.com/tours/slovenia-in-one-day-lake-bled-postojna-cave-and-predjama-castle/,,Bus Tours|Day Trips|Full-day Tours|Nature and Wildlife Tours|Private and Luxury|Small Group,https://www.viator.com/tours/Ljubljana/Slovenia-in-One-Day-Small-Group-Day-Trip-to-Lake-Bled-Postojna-Cave-and-Predjama-Castle-from-Ljubljana/d5257-6993SVN1DAY,"For a full refund, cancel at least 24 hours before the scheduled departure time.","<div class=""d-flex d-md-inline-flex align-items-center mr-md-4 pb-2 pt-2""><span>Maximum of 8 people in the van</span></div>",<ul><li>Central Ljubljana meeting point</li><li>Comfortable transport by air-conditioned minivan </li><li>Professional English speaking guide </li></ul>,,"<ul><li>Infants and small children can ride in a pram or stroller</li><li>Public transportation options are available nearby</li><li>Specialized infant seats are available</li><li>Travelers should have at least a moderate level of physical fitness</li><li>Minimum numbers apply. There is a possibility of cancellation after confirmation if there are not enough passengers to meet requirements. In the event of this occurring, you will be offered an alternative or full refund.    </li><li>Not wheelchair accessible.</li><li>Please keep in mind that there are quite a few stairs at the Bled island, Bled castle, and Predjama castle, but you would do that in a fairly slow pace.</li><li>Small group tour - up to 8 people per van. </li><li>Warm and comfortable clothes and footwear are essential to visit the Postojna cave (temperature in the cave is 9°C / 48 Fahrenheit).</li></ul>",134.82,4.858394,SILJU,"For a full refund, cancel at least 24 hours before the scheduled departure time.",Ljubljana,https://visitslovenia.b-cdn.net/wp-content/uploads/tours/slovenia-in-one-day-lake-bled-postojna-cave-and-predjama-castle-0.jpg,marcus@visit.network
1002322,Lake Bled And Bohinj With Vintgar Gorge Included,"Two exquisite glacier lakes glitter in the green valleys of the Slovenian Alps. We will visit Bled, mundane resort with an eminent medieval castle and a romantic island in the lake. Later we will drive to Lake Bohinj which lies in a tranquil and pristine valley in the Triglav National Park.",tours,https://visitslovenia.com/tours/lake-bled-and-bohinj-with-vintgar-gorge-included/,,Best Conversion|Bus Tours|Car Tours|Day Trips|Full-day Tours,https://www.viator.com/tours/Ljubljana/Bled-and-Bohinj-Valley-Tour-from-Ljubljana/d5257-3312LJ_BLB,"For a full refund, cancel at least 24 hours before the scheduled departure time.","<div class=""d-flex d-md-inline-flex align-items-center mr-md-4 pb-2 pt-2""><span>Shared tour: Book your Shared Group Tour to Bled and Bohinj Valley from Ljubljana</span></div>","<ul><li>Organization and tax</li><li>Vintgar Gorge Entrance fee (available from 1.May till 1.Nov, in the meantime Ticket to Bled castle)</li><li>English speaking guide/driver</li><li>Sightseeing tour of Lake Bled & Lake Bohinj</li><li>Pick-Up & Transportation </li></ul>",,"<ul><li>Public transportation options are available nearby</li><li>Specialized infant seats are available</li><li>Travelers should have at least a moderate level of physical fitness</li><li>Comfortable walking shoes and camera are recommended</li><li>Local Contact Details: 00386 51 635 888</li><li>You are required to specify the name of your hotel and contact telephone number during your stay in Slovenia. This is important information the tour operator requires in case you need to be contacted regarding changes in the tour departure times.</li><li>The minimum number of participants must apply. There is a possibility of cancellation after confirmation if there are not enough passengers to meet requirements. In the event of this occurring, you will be offered an alternative date/tour or full refund. </li><li>Children must be accompanied by an adult</li><li>In the summer you can take bathing suits with you, to take a dip in the lake</li></ul>",117.82,4.841026,SILJU,"For a full refund, cancel at least 24 hours before the scheduled departure time.",Ljubljana,https://visitslovenia.b-cdn.net/wp-content/uploads/tours/lake-bled-and-bohinj-with-vintgar-gorge-included-0.jpg,marcus@visit.network
1002323,Ljubljana Boat Cruise And Walking Tour,"SEE, FEEL & TASTE 
Positive Vibes, People, Places, Food, Art... 

This locally guided boat & walking tour allows you to explore this unique city and cruise around whilst doing so! See the best Ljubljana's spots from the river (boat) ground (walking) and sky (skyscraper) point of view.

We will sail with a beautiful licensed boat of Ljubljana which is spacious enough to feel comfortable and safe. The boat is open which will give you the true feeling of being one with the river and its beautiful surroundings, but it can be closed with panoramic windows as it can be cold or a bit rainy this time of year. 

For the other part of the tour, we'll walk through the beautiful Baroque old town, Art-Nouveau new town, Town Hall, Dragon Bridge, Farmers Market, and of course experience life of the local people. Last but not least, we will visit old skyscraper with its remarkable architecture and enjoy a panoramic view of Ljubljana from above the sky.

Let's go for the extra (s)mile! :)",tours,https://visitslovenia.com/tours/ljubljana-boat-cruise-and-walking-tour/,,Food &amp; Drink|Historical Tours in Slovenia|Pastry Tours|Walking Tours,https://www.viator.com/tours/Ljubljana/Discover-breathtaking-castle-view-and-town/d5257-240291P2,"For a full refund, cancel at least 24 hours before the scheduled departure time.","<div class=""d-flex d-md-inline-flex align-items-center mr-md-4 pb-2 pt-2""><span></span></div>",<ul><li>Professional licensed tour guide</li><li>We will try Slovenian traditional cake</li><li>Boat ticket</li></ul>,,<ul><li>Public transportation options are available nearby</li><li>Suitable for all physical fitness levels</li></ul>,32.85,4.6992483,SILJU,"For a full refund, cancel at least 24 hours before the scheduled departure time.",Ljubljana,https://visitslovenia.b-cdn.net/wp-content/uploads/tours/ljubljana-boat-cruise-and-walking-tour-0.jpg,marcus@visit.network
1002324,Lakes Bled & Bohinj And Vintgar Gorge Small-group Day Trip From Ljubljana,"Slovenia is brimming with beauty — from the charming cobblestoned lanes of Ljubljana to the natural allure of the Alps. This small-group day trip gives a ‘greatest hits’ of the country, visiting the jaw-dropping Lake Bled and Bohinj located inside Triglav National Park, and then discovering the town of Škofja Loka, one of the oldest towns in the country. Numbers are usually limited to eight people, ensuring a small-group experience with personalized attention from the guide.",tours,https://visitslovenia.com/tours/lakes-bled-bohinj-and-vintgar-gorge-small-group-day-trip-from-ljubljana/,,Bus Tours|Day Trips|Full-day Tours|Historical Tours in Slovenia|Small Group,https://www.viator.com/tours/Ljubljana/Alpine-Region-Day-Trip-from-Ljubljana/d5257-7125ALPINE,"For a full refund, cancel at least 24 hours before the scheduled departure time.","<div class=""d-flex d-md-inline-flex align-items-center mr-md-4 pb-2 pt-2""><span></span></div>",<ul><li>Professional English speaking tour guide</li><li>Driver/guide</li><li>Transport by air-conditioned minivan</li></ul>,,<ul><li>Suitable for all physical fitness levels</li><li>Please wear comfortable clothing and shoes</li></ul>,112.16,4.856,SILJU,"For a full refund, cancel at least 24 hours before the scheduled departure time.",Ljubljana,https://visitslovenia.b-cdn.net/wp-content/uploads/tours/lakes-bled-bohinj-and-vintgar-gorge-small-group-day-trip-from-ljubljana-0.jpg,marcus@visit.network
1002325,Full-day Triglav National Park Tour From Ljubljana,"Join us on an adventure admiring the natural outdoor beauties of Triglav National Park. Take the stress out of driving on rural roads and mountain passes by having a round trip in air-conditioned minivan. This is a small group limited to a max of 8 travellers. Our local guide will take you to amazing sights such as Waterfall Peričnik, Zelenci nature reserve, Lake Predil, Predil mountain pass, Soča Valley, Vršič mountain pass and Jasna lake. Bring your swimmsuit and dip in to clear emerald waters. ",tours,https://visitslovenia.com/tours/full-day-triglav-national-park-tour-from-ljubljana/,,Bus Tours|Day Trips|Full-day Tours|Nature and Wildlife Tours,https://www.viator.com/tours/Ljubljana/Triglav-NP-Soca-River-Bovec-and-Bled-National-Treasures-Adventure-in-a-Day/d5257-9333P2,"For a full refund, cancel at least 24 hours before the scheduled departure time.","<div class=""d-flex d-md-inline-flex align-items-center mr-md-4 pb-2 pt-2""><span>Discover natural beauties of our Triglav National Park in the heart of the Julian Alps, with optional rafting on the Emerald Soča river. You return to Ljubljana in the evening.</span></div>","<ul><li>Informative, friendly and professional local guide</li><li>Pickup and drop-off in Ljubljana (the most suitable location if you are in a pedestrian zone)</li><li>A small-group tour (max 8 people)</li></ul>",,"<ul><li>Public transportation options are available nearby</li><li>Suitable for all physical fitness levels</li><li>Please wear comfortable shoes and clothing, a moderate amount of walking is involved.</li><li>If you wish to join the optional Top Extreme Soča rafting, please bring swimsuit and a towel.</li><li>The exact duration of the tour will depend on the time of day and traffic condition.</li></ul>",147.28,4.891089,SILJU,"For a full refund, cancel at least 24 hours before the scheduled departure time.",Ljubljana,https://visitslovenia.b-cdn.net/wp-content/uploads/tours/full-day-triglav-national-park-tour-from-ljubljana-0.jpg,marcus@visit.network
1002326,"Skocjan Caves, Lipica & Piran: Karst & Coast Small-group Day Trip From Ljubljana","Discover the Slovenian coast and the Karst region. The first stop is the UNESCO listed Skocjan Caves, one of the largest and most fascinating Karstic sites in Europe with the Reka River running 200m below the surface. Next stop in one of the local taverns with the famous Karst air-dried prosciutto tasting, accompanied with the local wine Teran – produced only in the Karst region. Short stop at Lipica, the homeland of the white Lipizzaner. Pass the coastal towns of Koper, Izola and Portoroz to reach everyone’s favourite spot on the Slovenian coast – Piran, where you can get lost in its medieval narrow streets and houses and enjoy some free time.

One last stop at Predjama Castle on the way to Ljubljana. Discover the secrets of the largest cave castle (Guinnes World Records!), located on a 123-meter high cliff, and learn about the local Robin Hood, the legendary knight Erazem.

Return to Ljubljana in early evening hours.",tours,https://visitslovenia.com/tours/skocjan-caves-lipica-piran-karst-coast-small-group-day-trip-from-ljubljana/,,Bus Tours|Cultural Tours|Day Trips|Full-day Tours|Historical Tours in Slovenia|Small Group,https://www.viator.com/tours/Ljubljana/Slovenian-Coast-and-Karst-Region-Day-Trip-from-Ljubljana/d5257-7125KARST,"For a full refund, cancel at least 24 hours before the scheduled departure time.","<div class=""d-flex d-md-inline-flex align-items-center mr-md-4 pb-2 pt-2""><span></span></div>",<ul><li>Professional English speaking tour guide</li><li>Transport by air-conditioned minivan</li></ul>,,<ul><li>Infants and small children can ride in a pram or stroller</li><li>Specialized infant seats are available</li><li>Suitable for all physical fitness levels</li><li>Please wear comfortable clothing and shoes</li><li>Bring a swimsuit</li></ul>,112.16,4.7190475,SILJU,"For a full refund, cancel at least 24 hours before the scheduled departure time.",Ljubljana,https://visitslovenia.b-cdn.net/wp-content/uploads/tours/skocjan-caves-lipica-piran-karst-coast-small-group-day-trip-from-ljubljana-0.jpg,marcus@visit.network
1002327,Lake Bled Tour From Ljubljana,"In the heart of the Alps, we will visit one of the largest natural attractions in Slovenia - Lake Bled. Besides the blue-green water, we will be able to admire also the picturesque architecture of the Bled castle, which is built atop a cliff that rises above the lake. It is possible to reach the unique island in the middle of the lake with the traditional Pletna boat. There, we will climb up the 99 stone-step staircase to the church and ring the wishing bell. Alternatively, you can decide for a leisurely stroll along the lakeshore, enjoying some of the most spectacular views of this picturesque lake.

Our guides are best acquainted with the destination and with tips and other assistance they help you discover all the services that the destination has to offer. ",tours,https://visitslovenia.com/tours/lake-bled-tour-from-ljubljana/,,Bus Tours|Day Trips|Half-day Tours|Nature and Wildlife Tours,https://www.viator.com/tours/Ljubljana/Lake-Bled-and-Vintgar-gorge/d5257-240347P1,"For a full refund, cancel at least 24 hours before the scheduled departure time.","<div class=""d-flex d-md-inline-flex align-items-center mr-md-4 pb-2 pt-2""><span>Pickup included</span></div>",<ul><li>Hotel pick up and drop off</li><li>Air-conditioned vehicle</li><li>Professional English speaking guide</li></ul>,,<ul><li>Specialized infant seats are available</li><li>Suitable for all physical fitness levels</li></ul>,81.57,4.857143,SILJU,"For a full refund, cancel at least 24 hours before the scheduled departure time.",Ljubljana,https://visitslovenia.b-cdn.net/wp-content/uploads/tours/lake-bled-tour-from-ljubljana-0.jpg,marcus@visit.network
